iter	Passed	Remaining
929	1367	102
930	1369	101
931	1370	100
932	1372	98
933	1373	97
934	1374	95
935	1376	94
936	1378	92
937	1380	91
938	1381	89
939	1382	88
940	1384	86
941	1385	85
942	1387	83
943	1388	82
944	1390	80
945	1391	79
946	1393	77
947	1395	76
948	1396	75
949	1398	73
950	1399	72
951	1401	70
952	1402	69
953	1403	67
954	1405	66
955	1406	64
956	1408	63
957	1410	61
958	1411	60
959	1413	58
960	1414	57
961	1416	55
962	1417	54
963	1419	52
964	1420	51
965	1421	50
966	1423	48
967	1424	47
968	1426	45
969	1427	44
970	1429	42
971	1431	41
972	1432	39
973	1434	38
974	1435	36
975	1437	35
976	1439	33
977	1440	32
978	1441	30
979	1443	29
980	1445	27
981	1446	26
982	1447	25
983	1449	23
984	1450	22
985	1452	20
986	1454	19
987	1455	17
988	1456	16
989	1458	14
990	1459	13
991	1461	11
992	1462	10
993	1464	8
994	1465	7
995	1466	5
996	1468	4
997	1469	2
998	1471	1
999	1472	0
